Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2,Number of Kernels,mean_kernel_dia_mm,mean_kernel_weight_mg
5041,5,42,11,2,BTx623,3.956,3.66,11.139,7.0,2.993816001,26.29352352
6041,6,42,11,2,RTx2536,3.928,3.787,11.317,10.0,2.732884288,30.05827789
7041,7,42,11,2,B.Tx642,4.054,3.647,10.971,9.0,2.48091348,26.69191011
2045,2,46,12,2,SC35-14E,4.292,3.863,12.13,10.0,3.139441204,34.00230694
3045,3,46,12,2,SC283,3.35,2.757,6.897,10.0,2.270196748,16.37369432
4045,4,46,12,2,BTx615,4.213,3.406,10.646,9.0,3.000566112,30.01179949
5045,5,46,12,2,6085-9_Stg4 NIL,3.982,3.687,10.723,9.0,2.637222568,26.55911414
6045,6,46,12,2,BTx623_DW1,4.069,3.186,9.373,9.0,2.251969655,18.25939125
7045,7,46,12,2,BTx635_DW2,3.845,3.137,9.196,10.0,2.688131285,24.50078278
2049,2,50,13,2,BTx642/Tx7000 NILStg1,4.495,4.053,13.447,10.0,3.27756505,38.90246277
3049,3,50,13,2,BTx2752,3.981,3.303,9.845,10.0,2.630936337,24.73981533
4049,4,50,13,2,B10001,4.221,3.493,10.905,9.0,2.737511529,32.13652844
5049,5,50,13,2,96CD635,3.979,4.143,12.875,9.0,3.039963616,36.05399789
6049,6,50,13,2,SC326-6,3.653,3.156,8.444,10.0,2.124044681,17.74812822
7049,7,50,13,2,1790E_(SC56/SC33),4.005,3.621,11.121,10.0,2.783785486,27.36916752
2053,2,54,14,3,BTx623,4.254,3.734,11.54,9.0,2.564648496,28.68384382
3053,3,54,14,3,SC964,4.147,3.459,10.65,10.0,2.465321875,23.90320301
4053,4,54,14,3,SC35-14E,4.316,3.61,11.296,10.0,2.547426152,27.30940933
5053,5,54,14,3,96CD635,3.896,4.03,12.319,9.0,3.161553038,35.85480478
6053,6,54,14,3,SC1154-14E,4.352,3.7,12.064,10.0,2.844798589,28.62408562
7053,7,54,14,3,RLBK1,4.01,3.77,10.961,10.0,2.693147254,25.57642708
2057,2,58,15,3,Macia,3.979,3.58,10.521,9.0,2.536220047,27.62811852
3057,3,58,15,3,1790E_(SC56/SC33),4.376,3.745,11.883,10.0,2.61943897,30.11803579
4057,4,58,15,3,SC326-6,3.718,3.465,9.599,10.0,2.597951865,22.88731651
5057,5,58,15,3,Tx2882,3.758,3.86,10.957,8.0,2.852344394,30.192734
6057,6,58,15,3,B.Tx642,4.152,3.732,11.356,9.0,3.004247904,31.54558775
7057,7,58,15,3,SC348,4.279,4.215,13.822,6.0,3.470536431,42.66721725
2061,2,62,16,3,SC283,4.11,3.887,11.798,10.0,2.902296901,31.97053318
3061,3,62,16,3,RTx2536,3.827,3.75,11.161,9.0,2.597530312,28.15930155
4061,4,62,16,3,KS19,4.059,3.464,10.417,9.0,2.716809511,26.36656041
5061,5,62,16,3,BTx623_DW1,4.057,3.455,10.559,9.0,2.622746097,26.62551244
6061,6,62,16,3,R11018,4.202,4.059,12.862,5.0,2.978175688,35.01819267
7061,7,62,16,3,2219-3_Stg2 NIL,4.072,3.741,11.228,10.0,2.820719051,29.40093975
2065,2,66,17,3,SC56,4.312,3.937,12.622,9.0,3.092948649,36.71797604
3065,3,66,17,3,RTx430,4.505,3.984,13.485,10.0,3.018122458,34.30109615
4065,4,66,17,3,M10P0052_BTx623,4.04,3.47,10.455,8.0,2.685562849,27.18989372
5065,5,66,17,3,P898012,3.698,3.15,9.191,8.0,2.53755331,20.24302483
6065,6,66,17,3,RTx430_BL,4.352,4.007,13.003,9.0,3.112317774,35.85480436
7065,7,66,17,3,PINK_KAFIR,3.73,3.204,9.038,8.0,2.654018432,23.08153021
2069,2,70,18,3,6085-9_Stg4 NIL,4.067,3.983,11.99,9.0,2.80478051,33.53088231
3069,3,70,18,3,BTx2752,4.13,3.448,10.59,10.0,2.762752008,26.23376522
4069,4,70,18,3,Tx7000,4.173,3.92,12.128,9.0,2.936170499,32.40211974
5069,5,70,18,3,R.Tx436,3.524,3.769,10.205,10.0,2.584804773,26.05449123
6069,6,70,18,3,R9188,3.888,3.035,9.001,10.0,2.239385092,19.42135239
7069,7,70,18,3,2290-19_Stg3 NIL,4.148,3.872,11.696,10.0,3.012687492,31.97053432
2073,2,74,19,3,SC328,4.256,3.608,11.546,9.0,2.74888187,30.54298147
3073,3,74,19,3,BTx615,4.597,3.615,12.021,10.0,3.107643867,31.1339222
4073,4,74,19,3,BTx642/Tx7000 NILStg1,4.365,4.004,12.775,6.0,2.949939132,35.0580314
5073,5,74,19,3,B4R (BTx406/Rio),3.858,3.198,9.317,9.0,2.723855575,24.03599866
6073,6,74,19,3,B10001,4.122,3.215,9.89,10.0,2.558394122,23.60441303
7073,7,74,19,3,BTx635_DW2,3.895,3.347,9.791,10.0,2.915840316,26.2935236
